lat,lon,alt

28.239345000000004,112.99626666666667,80.0

28.23932,112.99631333333333,80.1

28.239286666666665,112.99633166666666,80.1

28.23928,112.99634166666668,80.1

28.239273333333337,112.99635833333332,80.1

28.239265,112.996365,80.1

28.239238333333333,112.99637166666668,80.1

28.23920666666667,112.99637166666668,80.1

28.239195000000002,112.99637,80.1

28.23917833333333,112.996365,80.1

28.23915833333333,112.99635666666667,80.1

28.239171666666667,112.99636000000001,80.1

28.23918666666667,112.99635500000001,80.0

28.239195000000002,112.99637499999999,80.0

28.239211666666666,112.99637833333333,80.0

28.239195000000002,112.99637666666668,80.0

28.23920666666667,112.99636666666666,80.0

28.239195000000002,112.99635833333332,80.0

28.23918833333333,112.99637166666668,80.0

28.23920333333333,112.996385,79.9

28.239211666666666,112.99639166666665,79.9

28.239225,112.9964,79.9

28.23923666666667,112.996405,79.8

28.239271666666664,112.996425,79.8

28.239259999999998,112.99642166666666,79.7

28.23926833333333,112.99643333333333,79.7

28.23927833333333,112.99644166666667,79.5

28.23929333333333,112.996455,79.1

28.239306666666668,112.996455,78.9

28.239326666666663,112.99646,78.8

28.239341666666665,112.99646166666668,78.7

28.239365,112.99646333333334,78.6

28.239375000000003,112.99646833333333,78.5

28.239396666666668,112.99647666666667,78.4

28.239403333333332,112.99648666666666,77.8

28.239393333333336,112.996475,77.5

28.239408333333337,112.99647666666667,77.4

28.239395,112.99646499999999,77.3

28.239391666666666,112.99645333333335,77.1

28.239403333333332,112.99645166666666,77.0

28.23932,112.99642,19.8

